"YEAR","ITEM","LIGHT DUTY VEHICLES SHORT WB/2","MOTORCYCLES","BUSES","LIGHT DUTY VEHICLES LONG WB/2","SINGLE-UNIT TRUCKS/3","COMBINATION TRUCKS","ALL LIGHT DUTY VEHICLES/2","SINGLE-UNIT 2-AXLE 6-TIRE OR MORE AND COMBINATION TRUCKS","ALL MOTOR VEHICLES","",""
"2020","  Interstate Rural"," 123,042 ","961"," 1,383 "," 44,587 "," 10,075 "," 51,770 "," 167,629 "," 61,845 "," 231,818 ","",""
"2019",""," 148,257 "," 1,175 "," 1,717 "," 48,499 "," 10,887 "," 51,110 ","196,755 ","61,997 ","261,644 ","",""
"2020","  Other Arterial Rural"," 207,498 "," 2,205 "," 2,056 "," 92,800 "," 17,686 "," 30,507 "," 300,298 "," 48,193 "," 352,752 ","",""
"2019","","234,142 ","2,607 ","2,339 ","96,414 ","18,238 ","30,068 ","330,556 ","48,306 ","383,808 ","",""
"2020","  Other Rural"," 192,895 "," 2,711 "," 1,747 "," 93,178 "," 16,386 "," 12,041 "," 286,073 "," 28,427 "," 318,957 ","",""
"2019",""," 210,062 "," 2,835 "," 1,980 "," 93,946 "," 17,043 "," 12,534 ","304,008 ","29,577 "," 338,401 ","",""
"2020"," All Rural"," 523,434 "," 5,877 "," 5,186 "," 230,565 "," 44,147 "," 94,318 ","754,000 ","138,465 "," 903,527 ","",""
"2019",""," 592,461 "," 6,618 "," 6,036 "," 238,859 "," 46,168 "," 93,712 ","831,319 ","139,880 "," 983,853 ","",""
"2020","  Interstate Urban"," 317,721 "," 2,787 "," 2,728 "," 101,725 "," 23,450 "," 47,014 ","419,446 ","70,464 ","495,425 ","",""
"2019",""," 404,357 "," 2,558 "," 2,683 "," 100,785 "," 19,926 "," 45,444 ","505,142 ","65,371 ","575,753 ","",""
"2020","  Other Urban"," 1,055,394 "," 8,968 "," 7,190 "," 339,906 "," 57,282 "," 35,929 ","1,395,300 ","93,212 ","1,504,669 ","",""
"2019",""," 1,257,491 "," 10,512 "," 9,261 "," 330,101 "," 58,652 "," 36,149 ","1,587,592 ","94,800 ","1,702,166 ","",""
"2020"," All Urban  "," 1,373,115 "," 11,755 "," 9,918 "," 441,630 "," 80,733 "," 82,943 ","1,814,746 ","163,676 ","2,000,095 ","",""
"2019",""," 1,661,848 "," 13,070 "," 11,944 "," 430,886 "," 78,578 "," 81,593 ","2,092,734 ","160,171 ","2,277,919 ","",""
"2020"," Total Rural and Urban  5/"," 1,896,549 "," 17,632 "," 15,104 "," 672,196 "," 124,880 "," 177,261 ","2,568,745 ","302,141 ","2,903,622 ","",""
"2019",""," 2,254,309 "," 19,688 "," 17,980 "," 669,744 "," 124,746 "," 175,305 ","2,924,053 ","300,050 ","3,261,772 ","",""
"2020"," Number of motor vehicles"," 193,921,800 "," 8,317,363 "," 1,006,469 "," 59,199,428 "," 10,500,105 "," 2,979,277 "," 253,121,228 "," 13,479,382 "," 275,924,442 ","",""
"2019","  registered  2/"," 194,348,815 "," 8,596,314 "," 995,033 "," 59,465,369 "," 10,160,433 "," 2,925,210 "," 253,814,184 "," 13,085,643 "," 276,491,174 ","",""
"2020"," Average miles traveled"," 9,780 "," 2,120 "," 15,007 "," 11,355 "," 11,893 "," 59,498 ","10,148 ","22,415 ","10,523 ","",""
"2019","  per vehicle"," 11,599 "," 2,290 "," 18,070 "," 11,263 "," 12,278 "," 59,929 ","11,520 ","22,930 ","11,797 ","",""
"2020"," Person-miles of travel"," 3,161,448 "," 21,237 "," 320,202 "," 1,142,850 "," 124,880 "," 177,261 "," 4,304,298 "," 302,141 "," 4,947,878 ","",""
