"VEH_ID","DATE","TIME","SPEED","ACCEL","location","Vehicle Type","Make","Model","Year","Fuel Type","Zip","Weight Rating","Registered Weight","Last Emissions Date","CO_g_kg","HC_g_kg","NO_g_kg","NH3_g_kg","NO2_g_kg"
1,"7/12/2022","10:00:06",NA,NA,"Univ Ave","Truck","RAM","2500","2018","Gasoline","84042","b. 6,001 - 10,000","10000",2020-12-10,-25.7571955037183,9.92170944751288,-0.161336279528785,-0.0745826485190084,NA
2,"7/12/2022","10:00:48",33.2,0.924,"Univ Ave","Truck","GENERAL MOTORS CORP.","SIERRA","2017","Gasoline","84663","b. 6,001 - 10,000","10000",2021-09-25,2.53746093645664,-6.67371304941753,-0.0815612443861062,0.103787875897174,NA
3,"7/12/2022","10:02:05",32.6,-0.054,"Univ Ave","Passenger Vehicle","CHEVROLET","K15/BLAZER/SUBURBAN","2002","Gasoline","84010","a. 6,000 and less","6000",2022-01-06,34.5207968334307,19.7817885184052,0.58260797018827,0.237956190846983,0.882671931922467
4,"7/12/2022","10:02:18",NA,NA,"Univ Ave","Passenger Vehicle","HONDA","PILOT","2011","Gasoline","84045","a. 6,000 and less","6000",2022-02-10,10.7451282119311,-0.37522669946426,0.477561253863603,0.360018647629913,NA
5,"7/12/2022","10:02:31",36.1,1.727,"Univ Ave","Truck","RAM","1500 CLASSIC","2020","Gasoline","84047","b. 6,001 - 10,000","8000",NA,-9.8115642052633,-11.6586727699332,0.754588010306943,0.17789460344768,1.13274604753328
6,"7/12/2022","10:02:34",31.7,0.425,"Univ Ave","Truck","JEEP","GRAND CHEROKEE","2015","Gasoline","84042","b. 6,001 - 10,000","8000",2022-04-26,-3.94586276289311,11.2851675018743,0.481958951753372,0.159713492783769,-0.780059488578606
7,"7/12/2022","10:03:38",NA,NA,"Univ Ave","Truck","FORD","F150","2018","Gasoline","84604","b. 6,001 - 10,000","10000",2020-08-26,-22.94832623981,-1.59342198807983,-0.0128655483487307,3.03688886262835,-0.324402419104291
8,"7/12/2022","10:03:40",36.2,1.388,"Univ Ave","Passenger Vehicle","TOYOTA","COROLLA/S/LE/XLE","2010","Gasoline","84604","a. 6,000 and less","6000",2022-08-06,7.50424582329476,8.44086597868343,0.321610535284061,0.0303743283323835,NA
9,"7/12/2022","10:03:56",28.8,0.623,"Univ Ave","Passenger Vehicle","BMW","328","2016","Gasoline","84041","a. 6,000 and less","6000",2021-04-07,-27.9322213396876,7.90498884224063,0.426926131850675,0.377756344793676,1.07870948220432
10,"7/12/2022","10:04:04",30.8,1.047,"Univ Ave","Truck","ACURA","RDX","2017","Gasoline","84604","a. 6,000 and less","6000",2021-07-06,13.4353175922847,-3.97168511568245,-0.00285049170981994,0.409473134115635,0.900375314741793
11,"7/12/2022","10:04:35",36.7,1.064,"Univ Ave","Passenger Vehicle","GEO","PRIZM/LSI","1991","Gasoline","84606","a. 6,000 and less","6000",2022-05-20,142.016817445228,28.3523242015541,39.6643619997922,0.130150183103444,NA
